ISOCode,Location,Location-en,RecDtm,Confirmed,Recovered,Deaths,WaveID
VN-01 ,Lai Châu,Lai Chau,2020-08-21 12:00:00,1,1,0,1
VN-02 ,Lào Cai,Lao Cai,2020-08-21 12:00:00,9,2,0,1
VN-03 ,Hà Giang,Ha Giang,2020-08-21 12:00:00,4,3,0,1
VN-04 ,Cao Bằng,Cao Bang,2020-08-21 12:00:00,0,0,0,1
VN-05 ,Sơn La,Son La,2020-08-21 12:00:00,1,0,0,1
VN-06 ,Yên Bái,Yen Bai,2020-08-21 12:00:00,5,5,0,1
VN-07 ,Tuyên Quang,Tuyen Quang,2020-08-21 12:00:00,1,1,0,1
VN-09 ,Lạng Sơn,Lang Son,2020-08-21 12:00:00,117,20,1,1
VN-13 ,Quảng Ninh,Quang Ninh,2020-08-21 12:00:00,104,87,0,1
VN-14 ,Hòa Bình,Hoa Binh,2020-08-21 12:00:00,40,33,0,1
VN-18 ,Ninh Bình,Ninh Binh,2020-08-21 12:00:00,54,37,0,1
VN-20 ,Thái Bình,Thai Binh,2020-08-21 12:00:00,78,56,0,1
VN-21 ,Thanh Hóa,Thanh Hoa,2020-08-21 12:00:00,78,26,0,1
VN-22 ,Nghệ An,Nghe An,2020-08-21 12:00:00,163,5,1,1
VN-23 ,Hà Tĩnh,Ha Tinh,2020-08-21 12:00:00,139,20,1,1
VN-24 ,Quảng Bình,Quang Binh,2020-08-21 12:00:00,1,0,0,1
VN-25 ,Quảng Trị,Quang Tri,2020-08-21 12:00:00,18,12,1,1
VN-26 ,Thừa Thiên-Huế,Thua Thien-Hue,2020-08-21 12:00:00,13,6,0,1
VN-27 ,Quảng Nam,Quang Nam,2020-08-21 12:00:00,166,123,3,1
VN-28 ,Kon Tum,Kon Tum,2020-08-21 12:00:00,0,0,0,1
VN-29 ,Quảng Ngãi,Quang Ngai,2020-08-21 12:00:00,219,8,0,1
VN-30 ,Gia Lai,Gia Lai,2020-08-21 12:00:00,41,27,0,1
VN-31 ,Bình Định,Binh Dinh,2020-08-21 12:00:00,53,1,0,1
VN-32 ,Phú Yên,Phu Yen,2020-08-21 12:00:00,732,28,0,1
VN-33 ,Đắk Lắk,Dak Lak,2020-08-21 12:00:00,14,4,0,1
VN-34 ,Khánh Hòa,Khanh Hoa,2020-08-21 12:00:00,771,128,0,1
VN-35 ,Lâm Đồng,Lam Dong,2020-08-21 12:00:00,19,0,0,1
VN-36 ,Ninh Thuận,Ninh Thuan,2020-08-21 12:00:00,50,12,0,1
VN-37 ,Tây Ninh,Tay Ninh,2020-08-21 12:00:00,257,51,1,1
